epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,8652.07,0.66391,0.52224,1.19955,0.72328,0.70861,0.75315,0.54805,1.11893,0.77618,1.73616,0.003862,0.003862,0.003862
157,8706.87,0.65728,0.50746,1.19257,0.72054,0.714,0.75148,0.54749,1.12348,0.76668,1.74461,0.0038224,0.0038224,0.0038224
158,8760.98,0.65945,0.51496,1.19638,0.72899,0.70877,0.75325,0.54742,1.1245,0.76588,1.74601,0.0037828,0.0037828,0.0037828
159,8815.53,0.6611,0.50927,1.19299,0.72747,0.7113,0.75324,0.54703,1.12548,0.76339,1.7478,0.0037432,0.0037432,0.0037432
160,8869.99,0.66299,0.50744,1.19388,0.72855,0.71311,0.75461,0.54698,1.12629,0.76437,1.74743,0.0037036,0.0037036,0.0037036
161,8924.49,0.65024,0.50129,1.18518,0.72646,0.71273,0.75429,0.54658,1.13,0.76344,1.75156,0.003664,0.003664,0.003664
162,8979.42,0.64634,0.50217,1.18598,0.72858,0.71259,0.75492,0.54594,1.1246,0.77369,1.74454,0.0036244,0.0036244,0.0036244
163,9034.23,0.65305,0.50913,1.18963,0.72899,0.71039,0.75538,0.54684,1.13078,0.76116,1.75552,0.0035848,0.0035848,0.0035848
164,9088.63,0.64915,0.49725,1.18786,0.72977,0.71135,0.75593,0.54718,1.12365,0.77022,1.74293,0.0035452,0.0035452,0.0035452
165,9143.22,0.6458,0.50031,1.18443,0.72552,0.7123,0.75534,0.5454,1.1218,0.77217,1.73981,0.0035056,0.0035056,0.0035056
166,9197.48,0.64361,0.49843,1.18362,0.72085,0.71337,0.75491,0.54594,1.12233,0.77301,1.74028,0.003466,0.003466,0.003466
167,9253.14,0.64414,0.498,1.18482,0.72122,0.71383,0.75443,0.54542,1.12493,0.77131,1.74487,0.0034264,0.0034264,0.0034264
168,9307.82,0.64423,0.49487,1.18262,0.71935,0.71368,0.75422,0.54567,1.12564,0.76865,1.74695,0.0033868,0.0033868,0.0033868
169,9361.8,0.64331,0.49424,1.18305,0.71929,0.71368,0.75377,0.54576,1.13267,0.75548,1.75852,0.0033472,0.0033472,0.0033472
170,9416.85,0.64014,0.48825,1.18346,0.71813,0.71371,0.75554,0.54606,1.13348,0.75393,1.75956,0.0033076,0.0033076,0.0033076
171,9471.73,0.63995,0.48884,1.18095,0.71586,0.71233,0.7554,0.54523,1.13387,0.7521,1.76012,0.003268,0.003268,0.003268
172,9526.7,0.64115,0.48922,1.17851,0.71398,0.71194,0.75476,0.54457,1.12896,0.7639,1.75044,0.0032284,0.0032284,0.0032284
173,9581.89,0.63741,0.49072,1.17768,0.71437,0.71291,0.754,0.54585,1.12176,0.77465,1.73813,0.0031888,0.0031888,0.0031888
174,9636.63,0.63683,0.48688,1.18061,0.71385,0.71353,0.75356,0.54504,1.12122,0.77237,1.73832,0.0031492,0.0031492,0.0031492
175,9691.07,0.63689,0.48878,1.17702,0.71131,0.713,0.75377,0.54401,1.12061,0.7696,1.7378,0.0031096,0.0031096,0.0031096
176,9746.07,0.63392,0.47903,1.17837,0.71168,0.71538,0.75114,0.54417,1.11979,0.76901,1.73717,0.00307,0.00307,0.00307
177,9801.42,0.62988,0.47743,1.1737,0.71436,0.71062,0.75084,0.54421,1.12066,0.77026,1.73892,0.0030304,0.0030304,0.0030304
178,9855.55,0.62632,0.47553,1.17288,0.71599,0.7089,0.75095,0.54475,1.12086,0.76919,1.73937,0.0029908,0.0029908,0.0029908
179,9909.71,0.6221,0.4744,1.17078,0.71613,0.70795,0.74908,0.54488,1.12061,0.76877,1.74048,0.0029512,0.0029512,0.0029512
180,9962.11,0.62813,0.47811,1.17116,0.71536,0.71128,0.74933,0.5449,1.12018,0.77047,1.74072,0.0029116,0.0029116,0.0029116
